Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Bihor, Year 1992, Number of persons, 654414
Total, Total, Total, Bihor, Year 1993, Number of persons, 651663
Total, Total, Total, Bihor, Year 1994, Number of persons, 649284
Total, Total, Total, Bihor, Year 1995, Number of persons, 647687
Total, Total, Total, Bihor, Year 1996, Number of persons, 644811
Total, Total, Total, Bihor, Year 1997, Number of persons, 641904
Total, Total, Total, Bihor, Year 1998, Number of persons, 639185
Total, Total, Total, Bihor, Year 1999, Number of persons, 637914
Total, Total, Total, Bihor, Year 2000, Number of persons, 636374
Total, Total, Total, Bihor, Year 2001, Number of persons, 635161
Total, Total, Total, Bihor, Year 2002, Number of persons, 632847
Total, Total, Total, Bihor, Year 2003, Number of persons, 631056
Total, Total, Total, Bihor, Year 2004, Number of persons, 629155
Total, Total, Total, Bihor, Year 2005, Number of persons, 627257
Total, Total, Total, Bihor, Year 2006, Number of persons, 626219
Total, Total, Total, Bihor, Year 2007, Number of persons, 625647
Total, Total, Total, Bihor, Year 2008, Number of persons, 625611
Total, Total, Total, Bihor, Year 2009, Number of persons, 625286
Total, Total, Total, Bihor, Year 2010, Number of persons, 624809
Total, Total, Total, Bihor, Year 2011, Number of persons, 624695
Total, Total, Total, Bistrita-Nasaud, Year 1992, Number of persons, 331125
Total, Total, Total, Bistrita-Nasaud, Year 1993, Number of persons, 331168
Total, Total, Total, Bistrita-Nasaud, Year 1994, Number of persons, 331392
Total, Total, Total, Bistrita-Nasaud, Year 1995, Number of persons, 331332
Total, Total, Total, Bistrita-Nasaud, Year 1996, Number of persons, 331201
Total, Total, Total, Bistrita-Nasaud, Year 1997, Number of persons, 330811
Total, Total, Total, Bistrita-Nasaud, Year 1998, Number of persons, 330364
Total, Total, Total, Bistrita-Nasaud, Year 1999, Number of persons, 329881
Total, Total, Total, Bistrita-Nasaud, Year 2000, Number of persons, 329813
Total, Total, Total, Bistrita-Nasaud, Year 2001, Number of persons, 329837
Total, Total, Total, Bistrita-Nasaud, Year 2002, Number of persons, 330034
Total, Total, Total, Bistrita-Nasaud, Year 2003, Number of persons, 330296
Total, Total, Total, Bistrita-Nasaud, Year 2004, Number of persons, 330753
Total, Total, Total, Bistrita-Nasaud, Year 2005, Number of persons, 330750
Total, Total, Total, Bistrita-Nasaud, Year 2006, Number of persons, 330947
Total, Total, Total, Bistrita-Nasaud, Year 2007, Number of persons, 330883
Total, Total, Total, Bistrita-Nasaud, Year 2008, Number of persons, 330903
Total, Total, Total, Bistrita-Nasaud, Year 2009, Number of persons, 331145
Total, Total, Total, Bistrita-Nasaud, Year 2010, Number of persons, 331414
Total, Total, Total, Bistrita-Nasaud, Year 2011, Number of persons, 331241
Total, Total, Total, Cluj, Year 1992, Number of persons, 735031
Total, Total, Total, Cluj, Year 1993, Number of persons, 733264
Total, Total, Total, Cluj, Year 1994, Number of persons, 731254
Total, Total, Total, Cluj, Year 1995, Number of persons, 729478
Total, Total, Total, Cluj, Year 1996, Number of persons, 727135
Total, Total, Total, Cluj, Year 1997, Number of persons, 724667
Total, Total, Total, Cluj, Year 1998, Number of persons, 722474
Total, Total, Total, Cluj, Year 1999, Number of persons, 721245
Total, Total, Total, Cluj, Year 2000, Number of persons, 720092
Total, Total, Total, Cluj, Year 2001, Number of persons, 719086
Total, Total, Total, Cluj, Year 2002, Number of persons, 716497
Total, Total, Total, Cluj, Year 2003, Number of persons, 712978
Total, Total, Total, Cluj, Year 2004, Number of persons, 710306
Total, Total, Total, Cluj, Year 2005, Number of persons, 708243
Total, Total, Total, Cluj, Year 2006, Number of persons, 706917
Total, Total, Total, Cluj, Year 2007, Number of persons, 706855
Total, Total, Total, Cluj, Year 2008, Number of persons, 707647
Total, Total, Total, Cluj, Year 2009, Number of persons, 709230
Total, Total, Total, Cluj, Year 2010, Number of persons, 710977
Total, Total, Total, Cluj, Year 2011, Number of persons, 714380
Total, Total, Total, Maramures, Year 1992, Number of persons, 554896
Total, Total, Total, Maramures, Year 1993, Number of persons, 553416
Total, Total, Total, Maramures, Year 1994, Number of persons, 552567
Total, Total, Total, Maramures, Year 1995, Number of persons, 551303
Total, Total, Total, Maramures, Year 1996, Number of persons, 549420
Total, Total, Total, Maramures, Year 1997, Number of persons, 547886
Total, Total, Total, Maramures, Year 1998, Number of persons, 546491
