Sex, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Bihor, Year 1990, Number of persons, 3011
Total, Bihor, Year 1991, Number of persons, 1789
Total, Bihor, Year 1992, Number of persons, 1646
Total, Bihor, Year 1993, Number of persons, 793
Total, Bihor, Year 1994, Number of persons, 552
Total, Bihor, Year 1995, Number of persons, 1018
Total, Bihor, Year 1996, Number of persons, 658
Total, Bihor, Year 1997, Number of persons, 734
Total, Bihor, Year 1998, Number of persons, 466
Total, Bihor, Year 1999, Number of persons, 289
Total, Bihor, Year 2000, Number of persons, 497
Total, Bihor, Year 2001, Number of persons, 317
Total, Bihor, Year 2002, Number of persons, 334
Total, Bihor, Year 2003, Number of persons, 425
Total, Bihor, Year 2004, Number of persons, 521
Total, Bihor, Year 2005, Number of persons, 297
Total, Bihor, Year 2006, Number of persons, 335
Total, Bihor, Year 2007, Number of persons, 178
Total, Bihor, Year 2008, Number of persons, 181
Total, Bihor, Year 2009, Number of persons, 219
Total, Bihor, Year 2010, Number of persons, 143
Total, Bihor, Year 2011, Number of persons, 281
Total, Bihor, Year 2012, Number of persons, 263
Total, Bihor, Year 2013, Number of persons, 259
Total, Bihor, Year 2014, Number of persons, 176
Total, Bihor, Year 2015, Number of persons, 226
Total, Bihor, Year 2016, Number of persons, 369
Total, Bihor, Year 2017, Number of persons, 305
Total, Bihor, Year 2018, Number of persons, 421
Total, Bihor, Year 2019, Number of persons, 392
Total, Bihor, Year 2020, Number of persons, 282
Total, Bihor, Year 2021, Number of persons, 532
Total, Bihor, Year 2022, Number of persons, 681
Total, Bihor, Year 2023, Number of persons, 616
Total, Bihor, Year 2024, Number of persons, 520
Total, Bistrita-Nasaud, Year 1990, Number of persons, 457
Total, Bistrita-Nasaud, Year 1991, Number of persons, 356
Total, Bistrita-Nasaud, Year 1992, Number of persons, 318
Total, Bistrita-Nasaud, Year 1993, Number of persons, 136
Total, Bistrita-Nasaud, Year 1994, Number of persons, 149
Total, Bistrita-Nasaud, Year 1995, Number of persons, 312
Total, Bistrita-Nasaud, Year 1996, Number of persons, 219
Total, Bistrita-Nasaud, Year 1997, Number of persons, 232
Total, Bistrita-Nasaud, Year 1998, Number of persons, 129
Total, Bistrita-Nasaud, Year 1999, Number of persons, 145
Total, Bistrita-Nasaud, Year 2000, Number of persons, 147
Total, Bistrita-Nasaud, Year 2001, Number of persons, 114
Total, Bistrita-Nasaud, Year 2002, Number of persons, 121
Total, Bistrita-Nasaud, Year 2003, Number of persons, 96
Total, Bistrita-Nasaud, Year 2004, Number of persons, 151
Total, Bistrita-Nasaud, Year 2005, Number of persons, 121
Total, Bistrita-Nasaud, Year 2006, Number of persons, 176
Total, Bistrita-Nasaud, Year 2007, Number of persons, 120
Total, Bistrita-Nasaud, Year 2008, Number of persons, 111
Total, Bistrita-Nasaud, Year 2009, Number of persons, 129
Total, Bistrita-Nasaud, Year 2010, Number of persons, 105
Total, Bistrita-Nasaud, Year 2011, Number of persons, 271
Total, Bistrita-Nasaud, Year 2012, Number of persons, 334
Total, Bistrita-Nasaud, Year 2013, Number of persons, 321
Total, Bistrita-Nasaud, Year 2014, Number of persons, 219
Total, Bistrita-Nasaud, Year 2015, Number of persons, 267
Total, Bistrita-Nasaud, Year 2016, Number of persons, 385
Total, Bistrita-Nasaud, Year 2017, Number of persons, 362
Total, Bistrita-Nasaud, Year 2018, Number of persons, 442
Total, Bistrita-Nasaud, Year 2019, Number of persons, 369
Total, Bistrita-Nasaud, Year 2020, Number of persons, 281
Total, Bistrita-Nasaud, Year 2021, Number of persons, 453
Total, Bistrita-Nasaud, Year 2022, Number of persons, 579
Total, Bistrita-Nasaud, Year 2023, Number of persons, 528
Total, Bistrita-Nasaud, Year 2024, Number of persons, 487
Total, Cluj, Year 1990, Number of persons, 2965
Total, Cluj, Year 1991, Number of persons, 1604
Total, Cluj, Year 1992, Number of persons, 1277
Total, Cluj, Year 1993, Number of persons, 618
Total, Cluj, Year 1994, Number of persons, 531
Total, Cluj, Year 1995, Number of persons, 986
Total, Cluj, Year 1996, Number of persons, 823
Total, Cluj, Year 1997, Number of persons, 693
Total, Cluj, Year 1998, Number of persons, 602
Total, Cluj, Year 1999, Number of persons, 593
Total, Cluj, Year 2000, Number of persons, 647
Total, Cluj, Year 2001, Number of persons, 535
Total, Cluj, Year 2002, Number of persons, 538
Total, Cluj, Year 2003, Number of persons, 661
Total, Cluj, Year 2004, Number of persons, 665
Total, Cluj, Year 2005, Number of persons, 479
Total, Cluj, Year 2006, Number of persons, 557
Total, Cluj, Year 2007, Number of persons, 325
Total, Cluj, Year 2008, Number of persons, 391
Total, Cluj, Year 2009, Number of persons, 447
Total, Cluj, Year 2010, Number of persons, 345
Total, Cluj, Year 2011, Number of persons, 506
Total, Cluj, Year 2012, Number of persons, 503
Total, Cluj, Year 2013, Number of persons, 501
Total, Cluj, Year 2014, Number of persons, 351
Total, Cluj, Year 2015, Number of persons, 529
Total, Cluj, Year 2016, Number of persons, 724
Total, Cluj, Year 2017, Number of persons, 783
Total, Cluj, Year 2018, Number of persons, 838
Total, Cluj, Year 2019, Number of persons, 834
Total, Cluj, Year 2020, Number of persons, 536
Total, Cluj, Year 2021, Number of persons, 931
Total, Cluj, Year 2022, Number of persons, 1254
Total, Cluj, Year 2023, Number of persons, 1071
Total, Cluj, Year 2024, Number of persons, 801
Total, Maramures, Year 1990, Number of persons, 1356
Total, Maramures, Year 1991, Number of persons, 1002
Total, Maramures, Year 1992, Number of persons, 747
Total, Maramures, Year 1993, Number of persons, 413
Total, Maramures, Year 1994, Number of persons, 383
Total, Maramures, Year 1995, Number of persons, 658
Total, Maramures, Year 1996, Number of persons, 577
Total, Maramures, Year 1997, Number of persons, 461
Total, Maramures, Year 1998, Number of persons, 285
Total, Maramures, Year 1999, Number of persons, 179
