Countries of destination , Years, MU: Persons, Valoare
Australia, Year 1990, Number of persons, 611
Australia, Year 1991, Number of persons, 301
Australia, Year 1992, Number of persons, 297
Australia, Year 1993, Number of persons, 236
Australia, Year 1994, Number of persons, 220
Australia, Year 1995, Number of persons, 136
Australia, Year 1996, Number of persons, 165
Australia, Year 1997, Number of persons, 207
Australia, Year 1998, Number of persons, 206
Australia, Year 1999, Number of persons, 124
Australia, Year 2000, Number of persons, 143
Australia, Year 2001, Number of persons, 79
Australia, Year 2002, Number of persons, 58
Australia, Year 2003, Number of persons, 45
Australia, Year 2004, Number of persons, 84
Australia, Year 2005, Number of persons, 78
Australia, Year 2006, Number of persons, 125
Australia, Year 2007, Number of persons, 83
Australia, Year 2008, Number of persons, 82
Australia, Year 2009, Number of persons, 128
Australia, Year 2010, Number of persons, 81
Australia, Year 2011, Number of persons, 112
Australia, Year 2012, Number of persons, 92
Australia, Year 2013, Number of persons, 97
Australia, Year 2014, Number of persons, 45
Australia, Year 2015, Number of persons, 116
Australia, Year 2016, Number of persons, 111
Australia, Year 2017, Number of persons, 114
Australia, Year 2018, Number of persons, 128
Australia, Year 2019, Number of persons, 176
Australia, Year 2020, Number of persons, 91
Australia, Year 2021, Number of persons, 115
Australia, Year 2022, Number of persons, 205
Australia, Year 2023, Number of persons, 108
Australia, Year 2024, Number of persons, 106
Austria, Year 1990, Number of persons, 3459
Austria, Year 1991, Number of persons, 4630
Austria, Year 1992, Number of persons, 3282
Austria, Year 1993, Number of persons, 1296
Austria, Year 1994, Number of persons, 1256
Austria, Year 1995, Number of persons, 2276
Austria, Year 1996, Number of persons, 915
Austria, Year 1997, Number of persons, 1551
Austria, Year 1998, Number of persons, 941
Austria, Year 1999, Number of persons, 468
Austria, Year 2000, Number of persons, 270
Austria, Year 2001, Number of persons, 167
Austria, Year 2002, Number of persons, 293
Austria, Year 2003, Number of persons, 326
Austria, Year 2004, Number of persons, 491
Austria, Year 2005, Number of persons, 421
Austria, Year 2006, Number of persons, 581
Austria, Year 2007, Number of persons, 313
Austria, Year 2008, Number of persons, 345
Austria, Year 2009, Number of persons, 421
Austria, Year 2010, Number of persons, 569
Austria, Year 2011, Number of persons, 1089
Austria, Year 2012, Number of persons, 1032
Austria, Year 2013, Number of persons, 981
Austria, Year 2014, Number of persons, 569
Austria, Year 2015, Number of persons, 804
Austria, Year 2016, Number of persons, 1347
Austria, Year 2017, Number of persons, 1531
Austria, Year 2018, Number of persons, 1746
Austria, Year 2019, Number of persons, 2004
Austria, Year 2020, Number of persons, 1623
Austria, Year 2021, Number of persons, 2581
Austria, Year 2022, Number of persons, 3415
Austria, Year 2023, Number of persons, 2685
Austria, Year 2024, Number of persons, 2424
Canada, Year 1990, Number of persons, 1894
Canada, Year 1991, Number of persons, 1661
Canada, Year 1992, Number of persons, 1591
Canada, Year 1993, Number of persons, 1926
Canada, Year 1994, Number of persons, 1523
Canada, Year 1995, Number of persons, 2286
Canada, Year 1996, Number of persons, 2123
Canada, Year 1997, Number of persons, 2331
Canada, Year 1998, Number of persons, 1945
Canada, Year 1999, Number of persons, 1626
Canada, Year 2000, Number of persons, 2518
Canada, Year 2001, Number of persons, 2483
Canada, Year 2002, Number of persons, 1437
Canada, Year 2003, Number of persons, 1444
Canada, Year 2004, Number of persons, 1445
Canada, Year 2005, Number of persons, 1220
Canada, Year 2006, Number of persons, 1655
Canada, Year 2007, Number of persons, 1787
Canada, Year 2008, Number of persons, 1738
Canada, Year 2009, Number of persons, 2045
Canada, Year 2010, Number of persons, 858
Canada, Year 2011, Number of persons, 967
Canada, Year 2012, Number of persons, 846
Canada, Year 2013, Number of persons, 954
Canada, Year 2014, Number of persons, 688
Canada, Year 2015, Number of persons, 1184
Canada, Year 2016, Number of persons, 1086
Canada, Year 2017, Number of persons, 1048
Canada, Year 2018, Number of persons, 1126
Canada, Year 2019, Number of persons, 1163
Canada, Year 2020, Number of persons, 379
Canada, Year 2021, Number of persons, 1242
Canada, Year 2022, Number of persons, 1972
Canada, Year 2023, Number of persons, 1276
Canada, Year 2024, Number of persons, 1088
Switzerland, Year 2001, Number of persons, 100
Switzerland, Year 2002, Number of persons, 141
Switzerland, Year 2003, Number of persons, 200
Switzerland, Year 2004, Number of persons, 182
Switzerland, Year 2005, Number of persons, 151
Switzerland, Year 2006, Number of persons, 178
Switzerland, Year 2007, Number of persons, 115
Switzerland, Year 2008, Number of persons, 120
Switzerland, Year 2009, Number of persons, 99
Switzerland, Year 2010, Number of persons, 85
Switzerland, Year 2011, Number of persons, 93
Switzerland, Year 2012, Number of persons, 88
Switzerland, Year 2013, Number of persons, 130
Switzerland, Year 2014, Number of persons, 114
Switzerland, Year 2015, Number of persons, 165
Switzerland, Year 2016, Number of persons, 234
Switzerland, Year 2017, Number of persons, 260
Switzerland, Year 2018, Number of persons, 290
Switzerland, Year 2019, Number of persons, 287
Switzerland, Year 2020, Number of persons, 255
Switzerland, Year 2021, Number of persons, 496
Switzerland, Year 2022, Number of persons, 492
Switzerland, Year 2023, Number of persons, 482
Switzerland, Year 2024, Number of persons, 430
France, Year 1990, Number of persons, 1626
France, Year 1991, Number of persons, 1512
France, Year 1992, Number of persons, 1235
France, Year 1993, Number of persons, 937
France, Year 1994, Number of persons, 787
France, Year 1995, Number of persons, 1438
France, Year 1996, Number of persons, 2181
France, Year 1997, Number of persons, 1143
France, Year 1998, Number of persons, 846
France, Year 1999, Number of persons, 696
France, Year 2000, Number of persons, 809
France, Year 2001, Number of persons, 463
France, Year 2002, Number of persons, 233
France, Year 2003, Number of persons, 338
France, Year 2004, Number of persons, 436
France, Year 2005, Number of persons, 343
France, Year 2006, Number of persons, 529
France, Year 2007, Number of persons, 372
France, Year 2008, Number of persons, 431
France, Year 2009, Number of persons, 576
France, Year 2010, Number of persons, 405
France, Year 2011, Number of persons, 663
France, Year 2012, Number of persons, 660
France, Year 2013, Number of persons, 663
France, Year 2014, Number of persons, 495
France, Year 2015, Number of persons, 628
France, Year 2016, Number of persons, 886
France, Year 2017, Number of persons, 890
France, Year 2018, Number of persons, 1075
France, Year 2019, Number of persons, 1030
France, Year 2020, Number of persons, 768
France, Year 2021, Number of persons, 1312
France, Year 2022, Number of persons, 1635
France, Year 2023, Number of persons, 1733
France, Year 2024, Number of persons, 1723
Germany, Year 1990, Number of persons, 66121
Germany, Year 1991, Number of persons, 20001
Germany, Year 1992, Number of persons, 13813
Germany, Year 1993, Number of persons, 6874
Germany, Year 1994, Number of persons, 6880
Germany, Year 1995, Number of persons, 9010
Germany, Year 1996, Number of persons, 6467
Germany, Year 1997, Number of persons, 5807
Germany, Year 1998, Number of persons, 3899
Germany, Year 1999, Number of persons, 2370
Germany, Year 2000, Number of persons, 2216
Germany, Year 2001, Number of persons, 854
Germany, Year 2002, Number of persons, 1305
Germany, Year 2003, Number of persons, 1938
Germany, Year 2004, Number of persons, 2707
Germany, Year 2005, Number of persons, 2196
Germany, Year 2006, Number of persons, 3110
Germany, Year 2007, Number of persons, 1902
Germany, Year 2008, Number of persons, 1788
Germany, Year 2009, Number of persons, 1938
Germany, Year 2010, Number of persons, 1399
Germany, Year 2011, Number of persons, 2014
Germany, Year 2012, Number of persons, 1907
Germany, Year 2013, Number of persons, 2283
Germany, Year 2014, Number of persons, 2008
Germany, Year 2015, Number of persons, 2780
Germany, Year 2016, Number of persons, 3959
Germany, Year 2017, Number of persons, 4088
Germany, Year 2018, Number of persons, 3961
Germany, Year 2019, Number of persons, 3671
Germany, Year 2020, Number of persons, 4257
Germany, Year 2021, Number of persons, 5121
Germany, Year 2022, Number of persons, 7642
Germany, Year 2023, Number of persons, 8001
Germany, Year 2024, Number of persons, 10578
Greece, Year 1990, Number of persons, 576
Greece, Year 1991, Number of persons, 354
Greece, Year 1992, Number of persons, 143
Greece, Year 1993, Number of persons, 80
Greece, Year 1994, Number of persons, 87
Greece, Year 1995, Number of persons, 193
Greece, Year 1996, Number of persons, 274
Greece, Year 1997, Number of persons, 232
Greece, Year 1998, Number of persons, 316
Greece, Year 1999, Number of persons, 214
Greece, Year 2000, Number of persons, 328
Greece, Year 2001, Number of persons, 105
Greece, Year 2002, Number of persons, 60
Greece, Year 2003, Number of persons, 64
Greece, Year 2004, Number of persons, 97
Greece, Year 2005, Number of persons, 114
Greece, Year 2006, Number of persons, 134
Greece, Year 2007, Number of persons, 72
Greece, Year 2008, Number of persons, 85
Greece, Year 2009, Number of persons, 124
Greece, Year 2010, Number of persons, 133
Greece, Year 2011, Number of persons, 160
Greece, Year 2012, Number of persons, 162
Greece, Year 2013, Number of persons, 110
Greece, Year 2014, Number of persons, 60
Greece, Year 2015, Number of persons, 129
Greece, Year 2016, Number of persons, 169
Greece, Year 2017, Number of persons, 177
Greece, Year 2018, Number of persons, 184
Greece, Year 2019, Number of persons, 134
Greece, Year 2020, Number of persons, 111
Greece, Year 2021, Number of persons, 203
Greece, Year 2022, Number of persons, 228
Greece, Year 2023, Number of persons, 256
Greece, Year 2024, Number of persons, 200
Israel, Year 1990, Number of persons, 1227
Israel, Year 1991, Number of persons, 519
Israel, Year 1992, Number of persons, 463
Israel, Year 1993, Number of persons, 324
Israel, Year 1994, Number of persons, 417
Israel, Year 1995, Number of persons, 316
Israel, Year 1996, Number of persons, 418
Israel, Year 1997, Number of persons, 554
Israel, Year 1998, Number of persons, 563
Israel, Year 1999, Number of persons, 326
Israel, Year 2000, Number of persons, 433
Israel, Year 2001, Number of persons, 279
Israel, Year 2002, Number of persons, 106
Israel, Year 2003, Number of persons, 164
Israel, Year 2004, Number of persons, 85
Israel, Year 2005, Number of persons, 64
Israel, Year 2006, Number of persons, 128
Israel, Year 2007, Number of persons, 57
Israel, Year 2008, Number of persons, 50
Israel, Year 2009, Number of persons, 111
Israel, Year 2010, Number of persons, 62
Israel, Year 2011, Number of persons, 2857
Israel, Year 2012, Number of persons, 2292
Israel, Year 2013, Number of persons, 2506
Israel, Year 2014, Number of persons, 22
Israel, Year 2015, Number of persons, 43
Israel, Year 2016, Number of persons, 75
Israel, Year 2017, Number of persons, 66
Israel, Year 2018, Number of persons, 61
Israel, Year 2019, Number of persons, 81
Israel, Year 2020, Number of persons, 96
Israel, Year 2021, Number of persons, 143
Israel, Year 2022, Number of persons, 102
Israel, Year 2023, Number of persons, 147
Israel, Year 2024, Number of persons, 103
Italy, Year 1990, Number of persons, 1130
Italy, Year 1991, Number of persons, 1396
Italy, Year 1992, Number of persons, 528
Italy, Year 1993, Number of persons, 645
Italy, Year 1994, Number of persons, 1580
Italy, Year 1995, Number of persons, 2195
Italy, Year 1996, Number of persons, 1640
Italy, Year 1997, Number of persons, 1706
Italy, Year 1998, Number of persons, 1877
Italy, Year 1999, Number of persons, 1415
Italy, Year 2000, Number of persons, 2142
Italy, Year 2001, Number of persons, 1486
